"UK3CB_BAF_6Rnd_30mm_L21A1_APDS","30mm APDS"
"UK3CB_BAF_H_CrewHelmet_DPMT_ESS_A","Crew Helmet DPM Tmp [BAF]"
"UK3CB_BAF_HMNVS","Head-Mounted NV System [BAF]"
"UK3CB_BAF_Soflam_Laserdesignator","AN/PEQ-1 SOFLAM"
"UK3CB_BAF_U_JumperUniform_Plain","Jumper Uniform Plain [BAF]"
"UK3CB_BAF_U_JumperUniform_DPMW","Jumper Uniform DPM Wdl [BAF]"
"UK3CB_BAF_U_JumperUniform_DPMT","Jumper Uniform DPM Tmp [BAF]"
"UK3CB_BAF_U_JumperUniform_MTP","Jumper Uniform MTP [BAF]"
"UK3CB_BAF_U_CombatUniform_DDPM","Combat Uniform DDPM [BAF]"
"UK3CB_BAF_U_CombatUniform_DDPM_ShortSleeve","Combat Uniform DDPM Rolled [BAF]"
"UK3CB_BAF_U_CombatUniform_DDPM_RM","Combat Uniform DDPM RM [BAF]"
"UK3CB_BAF_U_CombatUniform_DDPM_ShortSleeve_RM","Combat Uniform DDPM Rolled RM [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMW","Combat Uniform DPM Wdl [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMW_ShortSleeve","Combat Uniform DPM Wdl Rolled [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMW_RM","Combat Uniform DPM Wdl RM [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMW_ShortSleeve_RM","Combat Uniform DPM Wdl Rolled RM [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMT","Combat Uniform DPM Tmp [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMT_ShortSleeve","Combat Uniform DPM Tmp Rolled [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMT_RM","Combat Uniform DPM Tmp RM [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMT_ShortSleeve_RM","Combat Uniform DPM Tmp Rolled RM [BAF]"
"UK3CB_BAF_U_CombatUniform_MTP_RM","Combat Uniform MTP RM [BAF]"
"UK3CB_BAF_U_CombatUniform_MTP_ShortSleeve_RM","Combat Uniform MTP Rolled RM [BAF]"
"UK3CB_BAF_U_RolledUniform_MTP","Rolled Shirt MTP [BAF]"
"UK3CB_BAF_U_CombatUniform_MTP_TShirt_RM","Combat T-Shirt MTP RM [BAF]"
"UK3CB_BAF_U_CombatUniform_MTP_TShirt","Combat T-Shirt MTP [BAF]"
"UK3CB_BAF_U_CombatUniform_MTP","Combat Uniform MTP [BAF]"
"UK3CB_BAF_U_CombatUniform_MTP_ShortSleeve","Combat Uniform MTP Rolled [BAF]"
"UK3CB_BAF_U_HeliPilotCoveralls_RN","Heli Pilot Flight Suit RN [BAF]"
"UK3CB_BAF_U_HeliPilotCoveralls_RAF","Heli Pilot Flight Suit RAF [BAF]"
"UK3CB_BAF_U_HeliPilotCoveralls_Army","Heli Pilot Flight Suit Army [BAF]"
"UK3CB_BAF_U_CrewmanCoveralls_RTR","Crewman Coveralls RTR [BAF]"
"UK3CB_BAF_U_Smock_MTP","Smock MTP [BAF]"
"UK3CB_BAF_U_Smock_MTP_DPMW","Smock MTP / Trousers DPM Wdl [BAF]"
"UK3CB_BAF_U_Smock_MTP_DDPM","Smock MTP / Trousers DDPM [BAF]"
"UK3CB_BAF_U_Smock_DPMT","Smock DPM Tmp [BAF]"
"UK3CB_BAF_U_Smock_DPMW","Smock DPM Wdl [BAF]"
"UK3CB_BAF_U_Smock_DPMW_OLI","Smock DPM Wdl / Trousers Olive [BAF]"
"UK3CB_BAF_U_Smock_DPMW_MTP","Smock DPM Wdl / Trousers MTP [BAF]"
"UK3CB_BAF_U_Smock_DDPM","Smock DDPM [BAF]"
"UK3CB_BAF_U_Smock_DPMW_DDPM","Smock DPM Wdl / Trousers DDPM [BAF]"
"UK3CB_BAF_U_Smock_Arctic","Smock Arctic [BAF]"
"UK3CB_BAF_U_Smock_DPMW_Arctic","Smock DPM Wdl / Trousers Arctic [BAF]"
"UK3CB_BAF_U_Smock_MTP_Arctic","Smock MTP / Trousers Arctic [BAF]"
"UK3CB_BAF_U_CombatUniform_MTP_Ghillie_RM","Combat Uniform MTP Ghillie RM [BAF]"
"UK3CB_BAF_U_CombatUniform_DDPM_Ghillie_RM","Combat Uniform DDPM Ghillie RM [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMW_Ghillie_RM","Combat Uniform DPM Wdl Ghillie RM [BAF]"
"UK3CB_BAF_U_CombatUniform_DPMT_Ghillie_RM","Combat Uniform DPM Tmp Ghillie RM [BAF]"
"UK3CB_BAF_U_CombatUniform_Arctic_Ghillie_RM","Combat Uniform Arctic Ghillie RM [BAF]"
"UK3CB_BAF_V_Osprey","Osprey Mk4 MTP [BAF]"
"UK3CB_BAF_V_Osprey_Belt_A","Osprey Mk4 MTP Belt [BAF]"
"UK3CB_BAF_V_Osprey_Holster","Osprey Mk4 MTP Holster [BAF]"
"UK3CB_BAF_V_Osprey_Grenadier_A","Osprey Mk4 MTP Grenadier (A) [BAF]"
"UK3CB_BAF_V_Osprey_Grenadier_B","Osprey Mk4 MTP Grenadier (B) [BAF]"
"UK3CB_BAF_V_Osprey_Marksman_A","Osprey Mk4 MTP Marksman [BAF]"
"UK3CB_BAF_V_Osprey_Medic_A","Osprey Mk4 MTP Medic (A) [BAF]"
"UK3CB_BAF_V_Osprey_Medic_B","Osprey Mk4 MTP Medic (B) [BAF]"
"UK3CB_BAF_V_Osprey_Medic_C","Osprey Mk4 MTP Medic (C) [BAF]"
"UK3CB_BAF_V_Osprey_Medic_D","Osprey Mk4 MTP Medic (D) [BAF]"
"UK3CB_BAF_V_Osprey_MG_A","Osprey Mk4 MTP MG (A) [BAF]"
"UK3CB_BAF_V_Osprey_MG_B","Osprey Mk4 MTP MG (B) [BAF]"
"UK3CB_BAF_V_Osprey_Rifleman_A","Osprey Mk4 MTP Rifleman (A) [BAF]"
"UK3CB_BAF_V_Osprey_Rifleman_B","Osprey Mk4 MTP Rifleman (B) [BAF]"
"UK3CB_BAF_V_Osprey_Rifleman_C","Osprey Mk4 MTP Rifleman (C) [BAF]"
"UK3CB_BAF_V_Osprey_Rifleman_D","Osprey Mk4 MTP Rifleman (D) [BAF]"
"UK3CB_BAF_V_Osprey_Rifleman_E","Osprey Mk4 MTP Rifleman (E) [BAF]"
"UK3CB_BAF_V_Osprey_Rifleman_F","Osprey Mk4 MTP Rifleman (F) [BAF]"
"UK3CB_BAF_V_Osprey_SL_A","Osprey Mk4 MTP SL (A) [BAF]"
"UK3CB_BAF_V_Osprey_SL_B","Osprey Mk4 MTP SL (B) [BAF]"
"UK3CB_BAF_V_Osprey_SL_C","Osprey Mk4 MTP SL (C) [BAF]"
"UK3CB_BAF_V_Osprey_SL_D","Osprey Mk4 MTP SL (D) [BAF]"
"UK3CB_BAF_V_Osprey_Lite","Osprey Mk4-L MTP [BAF]"
"UK3CB_BAF_V_Pilot_A","Pilot Vest MTP [BAF]"
"UK3CB_BAF_V_Osprey_DDPM1","Osprey Mk2 DDPM (A) [BAF]"
"UK3CB_BAF_V_Osprey_DDPM2","Osprey Mk2 DDPM (B) [BAF]"
"UK3CB_BAF_V_Osprey_DDPM3","Osprey Mk2 DDPM (C) [BAF]"
"UK3CB_BAF_V_Osprey_DDPM4","Osprey Mk2 DDPM (D) [BAF]"
"UK3CB_BAF_V_Osprey_DDPM5","Osprey Mk2 DDPM (E) [BAF]"
"UK3CB_BAF_V_Osprey_DDPM6","Osprey Mk2 DDPM (F) [BAF]"
"UK3CB_BAF_V_Osprey_DDPM7","Osprey Mk2 DDPM (G) [BAF]"
"UK3CB_BAF_V_Osprey_DDPM8","Osprey Mk2 DDPM (H) [BAF]"
"UK3CB_BAF_V_Osprey_DDPM9","Osprey Mk2 DDPM (I) [BAF]"
"UK3CB_BAF_V_Pilot_DDPM","Pilot Vest DDPM [BAF]"
"UK3CB_BAF_V_Osprey_DPMW1","Osprey Mk2 DPM Wdl (A) [BAF]"
"UK3CB_BAF_V_Osprey_DPMW2","Osprey Mk2 DPM Wdl (B) [BAF]"
"UK3CB_BAF_V_Osprey_DPMW3","Osprey Mk2 DPM Wdl (C) [BAF]"
"UK3CB_BAF_V_Osprey_DPMW4","Osprey Mk2 DPM Wdl (D) [BAF]"
"UK3CB_BAF_V_Osprey_DPMW5","Osprey Mk2 DPM Wdl (E) [BAF]"
"UK3CB_BAF_V_Osprey_DPMW6","Osprey Mk2 DPM Wdl (F) [BAF]"
"UK3CB_BAF_V_Osprey_DPMW7","Osprey Mk2 DPM Wdl (G) [BAF]"
"UK3CB_BAF_V_Osprey_DPMW8","Osprey Mk2 DPM Wdl (H) [BAF]"
"UK3CB_BAF_V_Osprey_DPMW9","Osprey Mk2 DPM Wdl (I) [BAF]"
"UK3CB_BAF_V_Pilot_DPMW","Pilot Vest DPM Wdl [BAF]"
"UK3CB_BAF_V_Osprey_DPMT1","Osprey Mk2 DPM Tmp (A) [BAF]"
"UK3CB_BAF_V_Osprey_DPMT2","Osprey Mk2 DPM Tmp (B) [BAF]"
"UK3CB_BAF_V_Osprey_DPMT3","Osprey Mk2 DPM Tmp (C) [BAF]"
"UK3CB_BAF_V_Osprey_DPMT4","Osprey Mk2 DPM Tmp (D) [BAF]"
"UK3CB_BAF_V_Osprey_DPMT5","Osprey Mk2 DPM Tmp (E) [BAF]"
"UK3CB_BAF_V_Osprey_DPMT6","Osprey Mk2 DPM Tmp (F) [BAF]"
"UK3CB_BAF_V_Osprey_DPMT7","Osprey Mk2 DPM Tmp (G) [BAF]"
"UK3CB_BAF_V_Osprey_DPMT8","Osprey Mk2 DPM Tmp (H) [BAF]"
"UK3CB_BAF_V_Osprey_DPMT9","Osprey Mk2 DPM Tmp (I) [BAF]"
"UK3CB_BAF_V_Pilot_DPMT","Pilot Vest DPM Tmp [BAF]"
"UK3CB_BAF_V_Osprey_HiVis","Osprey Mk2 Hi-Vis [BAF]"
"UK3CB_BAF_V_Osprey_Winter","Osprey Mk2 Arctic [BAF]"
"UK3CB_BAF_V_HiVis","Hi-Vis Jacket [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_DDPM","PLCE Webbing DDPM [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_MTP","PLCE Webbing MTP [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_DPMW","PLCE Webbing DPM Wdl [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_OLI","PLCE Webbing Olive [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_DPMT","PLCE Webbing DPM Tmp [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_Winter","PLCE Webbing Arctic [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_Plate_DDPM","PLCE Webbing (Plate) DDPM [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_Plate_MTP","PLCE Webbing (Plate) MTP [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_Plate_DPMW","PLCE Webbing (Plate) DPM Wdl [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_Plate_OLI","PLCE Webbing (Plate) Olive [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_Plate_DPMT","PLCE Webbing (Plate) DPM Tmp [BAF]"
"UK3CB_BAF_V_PLCE_Webbing_Plate_Winter","PLCE Webbing (Plate) Arctic [BAF]"
"UK3CB_BAF_Safe","Safe"
"UK3CB_BAF_L112A1_veh","L112A1 GPMG-ARD"
"UK3CB_BAF_L37A1_veh","L37A1"
"UK3CB_BAF_L94A1_veh","L94A1"
"UK3CB_BAF_L111A1_vehicle","L111A1"
"UK3CB_BAF_L134A1_vehicle","L134A1"
"UK3CB_BAF_L21A1_Rarden","L21A1 Rarden"
"HE","L21A1 Rarden"
"AP","L21A1 Rarden"
"UK3CB_gatling_30mm_base","Chain Gun M230 30mm"
"Burst10","Burst 10"
"Burst20","20 Burst"
"Burst50","Full"
"UK3CB_BAF_CannonM230","Chain Gun M230 30mm"
"UK3CB_BAF_CannonM621","Cannon 20mm"
"manual","Cannon 20mm"
"UK3CB_BAF_Missiles_CRV7_PG","Rockets CRV7-PG"
"Far_AI","CRV7-PG"
"Ripple1","CRV7-PG Single"
"Ripple2","CRV7-PG Ripple 2"
"Ripple4","CRV7-PG Ripple 4"
"UK3CB_BAF_Missiles_CRV7","Rockets CRV7"
"Far_AI","CRV7"
"Ripple1","CRV7 Single"
"Ripple2","CRV7 Ripple 2"
"Ripple4","CRV7 Ripple 4"
"Burst","CRV7"
"UK3CB_BAF_Missiles_CRV7_HEISAP","Rockets CRV7"
"UK3CB_BAF_Missiles_CRV7_FAT","Rockets CRV7"
"UK3CB_BAF_UAV_GBUBombLauncher","GBU-12 Bombpod"
"UK3CB_BAF_HellfireLauncher_K","AGM-114K Hellfire II"
"UK3CB_BAF_UAV_HellfireLauncher_K","AGM-114K Hellfire II"
"UK3CB_BAF_HellfireLauncher_L","AGM-114L Longbow Hellfire"
"UK3CB_BAF_HellfireLauncher_N","AGM-114N Hellfire II"
"UK3CB_BAF_UAV_HellfireLauncher_N","AGM-114N Hellfire II"
"UK3CB_BAF_TOW_Launcher","TOW Launcher"
"UK3CB_BAF_Milan_Launcher","Milan Launcher"
"UK3CB_BAF_CMFlareLauncher","Flares/Chaff"
"Single","Flares 2/-"
"Burst1","Flares 8/0.5s"
"Burst2","Flares 8/1s"
"Burst3","Flares 8/2s"
"Burst4","Flares 8/4s"
"Burst5","Flares 16/1s"
"Burst6","Flares 16/2s"
"Burst7","Flares 16/4s"
"Burst8","Flares 16/8s"
"UK3CB_BAF_IRJammer","IR Jammer"
"Burst1","IR Jammer"
"UK3CB_BAF_Laserdesignator_mounted","Laser Designator"
"UK3CB_Factions_MK19","MK19"
"UK3CB_70mm_rocket_launcher","70mm Rocket Launcher"
"UK3CB_Hilux_Artillery_Launcher","122mm Rocket Launcher"
"UK3CB_Factions_Scud_Launcher","Scud Launcher"
"UK3CB_Factions_PKT_veh_1","PKT"
"UK3CB_Factions_KPVT_veh_1","KPVT"
"UK3CB_Factions_PKT_BTR_veh_1","PKT"
"UK3CB_Factions_Cannon_veh_1","2A42"
"UK3CB_FNFAL_FULL","FN FAL 50.00"
"UK3CB_M203","M203"
"UK3CB_M16_Carbine","Colt Carbine"
"UK3CB_M14","M14"
"UK3CB_M14DMR","M14 DMR"
"UK3CB_M21","M21"
"RKSL_optic_EOT552","EOTech 552.A65/1"
"RKSL_optic_EOT552_C","EOTech 552.A65/1 (Coyote)"
"RKSL_optic_EOT552X","EOTech 552.XR308"
"RKSL_optic_EOT552X_C","EOTech 552.XR308 (Coyote)"
"RKSL_optic_LDS","LDS"
"RKSL_optic_LDS_C","LDS (Coyote)"
"RKSL_optic_PMII_525","S+B 5-25x56 PM II"
"RKSL_optic_PMII_525_des","S+B 5-25x56 PM II (D)"
"RKSL_optic_PMII_525_wdl","S+B 5-25x56 PM II (W)"
"RKSL_optic_PMII_312","S+B 3-12x50 PM II"
"RKSL_optic_PMII_312_sunshade","S+B 3-12x50 PM II (sunshade)"
"RKSL_optic_PMII_312_wdl","S+B 3-12x50 PM II (W)"
"RKSL_optic_PMII_312_des","S+B 3-12x50 PM II (D)"
"RKSL_optic_PMII_312_sunshade_wdl","S+B 3-12x50 PM II (sunshade) (W)"
"RKSL_optic_PMII_312_sunshade_des","S+B 3-12x50 PM II (sunshade) (D)"
"RKSL_optic_RMR_MS19","RMR (MS19)"
"RKSL_optic_RMR_MS19_FDE","RMR (MS19) (FDE)"
"RKSL_optic_RMR_HG","RMR (Handgun)"
"RKSL_optic_RMR_HG_FDE","RMR (Handgun) (FDE)"
"RKSL_optic_RMR_RM33","RMR (RM33)"
"RKSL_optic_RMR_RM33_FDE","RMR (RM33) (FDE)"
"UK3CB_BAF_Bulldog_L7A2","L7A2 GPMG"
"UK3CB_BAF_Bulldog_L111A1","L111A1 HMG-RWS"
"UK3CB_BAF_Coyote_Jackal_L7A2_1","L7A2 GPMG"
"UK3CB_BAF_Coyote_Jackal_L111A1","L111A1 HMG"
"UK3CB_BAF_Coyote_Jackal_L134A1","L134A1 GMG"
"UK3CB_BAF_Husky_L7A2","L7A2 GPMG"
"UK3CB_BAF_Husky_L111A1","L111A1 HMG"
"UK3CB_BAF_Husky_L134A1","L134A1 GMG"
"UK3CB_BAF_Landrover_L7A2_1","L7A2 GPMG"
"UK3CB_BAF_Landrover_L7A2_2","L7A2 GPMG"
"UK3CB_BAF_Landrover_L111A1","L111A1 HMG"
"UK3CB_BAF_Landrover_L134A1","L134A1 GMG"
"UK3CB_BAF_Javelin_CLU","Javelin CLU"
"UK3CB_BAF_Javelin_Slung_Tube","Javelin Tube"
"UK3CB_BAF_Panther_L7A2_1","L7A2 GPMG-RWS"
"UK3CB_BAF_RHIB_L111A1","L111A1 HMG"
"UK3CB_BAF_RHIB_L7A2","L7A2 GPMG"
"UK3CB_PKT","PKT"
"UK3CB_DT","DT"
"UK3CB_D81","D-81"
"UK3CB_D10TG","D-10TG"
"UK3CB_S53","ZiS S-53"
"UK3CB_BAF_L115A3","L115A3"
"UK3CB_BAF_L115A3_BL","L115A3 (Black)"
"UK3CB_BAF_L115A3_DE","L115A3 (Sand)"
"UK3CB_BAF_L115A3_Ghillie","L115A3 Ghillie"
"UK3CB_BAF_L115A3_BL_Ghillie","L115A3 Ghillie (Black)"
"UK3CB_BAF_L115A3_DE_Ghillie","L115A3 Ghillie (Sand)"
"UK3CB_BAF_L118A1_Covert","L118A1 AWC"
"UK3CB_BAF_L118A1_Covert_BL","L118A1 AWC (Black)"
"UK3CB_BAF_L118A1_Covert_DE","L118A1 AWC (Sand)"
"UK3CB_BAF_L123A2"," L123A2"
"UK3CB_safe_base","Safe"
"Safe","Safe"
"UK3CB_BAF_L1A1","L1A1 SLR"
"UK3CB_BAF_L1A1_Wood","L1A1 SLR (Wooden stock)"
"UK3CB_BAF_AT4_AT_Launcher","AT4 HP Launcher"
"UK3CB_BAF_AT4_AP_Launcher","AT4 HEDP Launcher"
"UK3CB_BAF_AT4_CS_AT_Launcher","ILAW HP Launcher"
"UK3CB_BAF_AT4_CS_AP_Launcher","ILAW HEDP Launcher"
"UK3CB_BAF_Javelin_Launcher","Javelin Launcher"
"UK3CB_BAF_Javelin_Slung_Tube_Used","Javelin Tube (used)"
"UK3CB_BAF_NLAW_Launcher","NLAW Launcher"
"UK3CB_BAF_L123A2","L123A2"
"UK3CB_BAF_L123A3_V2","L123A3"
"UK3CB_BAF_L111A1_veh","L111A1 Static Weapon"
"manual","L111A1 Static Weapon"
"UK3CB_BAF_L7A2_veh","L7A2 Static Weapon"
"manual","L7A2 Static Weapon"
"UK3CB_BAF_L134A1_veh","L134A1 Static Weapon"
"manual","L134A1 Static Weapon"
"UK3CB_BAF_L16_veh","L16 Static Weapon"
"UK3CB_BAF_M6_veh","M6 Static Weapon"
"UK3CB_BAF_Tripod","Tripod Static Weapon [BAF]"
"UK3CB_BAF_L16_Tripod","Bipod Mortar L16 [BAF]"
"UK3CB_BAF_L111A1","L111A1 HMG Static Weapon [BAF]"
"UK3CB_BAF_L134A1","L134A1 GMG Static Weapon [BAF]"
"UK3CB_BAF_L16","L16 Mortar Static Weapon [BAF]"
"UK3CB_BAF_M6","M6 Light Mortar [BAF]"
"UK3CB_BAF_SUSAT","SUSAT L9A1"
"UK3CB_BAF_SUSAT_3D","SUSAT L9A1 (3D)"
"UK3CB_BAF_TA648","Trijicon ACOG TA648RMR"
"UK3CB_BAF_TA648_308","Trijicon ACOG TA648RMR-308"
"UK3CB_BAF_TA31F","Trijicon ACOG TA31F"
"UK3CB_BAF_TA31F_Hornbill","Trijicon ACOG TA31F Hornbill"
"UK3CB_BAF_TA31F_3D","Trijicon ACOG TA31F (3D)"
"UK3CB_BAF_TA31F_Hornbill_3D","Trijicon ACOG TA31F Hornbill (3D)"
"UK3CB_BAF_Eotech","Eotech 552 HWS"
"UK3CB_BAF_SB31250","SB 3-12x50"
"UK3CB_BAF_SB31250_Ghillie","SB 3-12x50 (Ghillie)"
"UK3CB_BAF_SB31250_Desert","SB 3-12x50 (Desert)"
"UK3CB_BAF_SB31250_Desert_Ghillie","SB 3-12x50 (Desert/Ghillie)"
"UK3CB_BAF_SpecterLDS","LDS (without Reflex)"
"UK3CB_BAF_SpecterLDS_3D","ELCAN LDS (3D)"
"UK3CB_BAF_SpecterLDS_Dot","ELCAN LDS Reflex"
"UK3CB_BAF_SpecterLDS_Dot_3D","ELCAN LDS Reflex (3D)"
"UK3CB_BAF_Kite","KITE"
"UK3CB_BAF_MaxiKite","KITE (MAXIKITE)"
"UK3CB_BAF_LLM_IR_Tan","LLM Mk3 IR (Tan)"
"UK3CB_BAF_LLM_IR_Black","LLM Mk3 IR (Black)"
"UK3CB_BAF_LLM_Flashlight_Tan","LLM Mk3 Flashlight (Tan)"
"UK3CB_BAF_LLM_Flashlight_Black","LLM Mk3 Flashlight (Black)"
"UK3CB_BAF_Flashlight_L131A1","Flashlight (L131A1)"
"UK3CB_BAF_Laser_L131A1","Glock-17 Laser(IR)"
"UK3CB_BAF_Flashlight_L105A1","Flashlight (L105A1)"
"UK3CB_BAF_L105A1_LLM_IR_R","Steiner DBAL-PL (Red)"
"UK3CB_BAF_L105A1_LLM_IR_G","Steiner DBAL-PL (Green)"
"UK3CB_BAF_L105A1_LLM_VL_R","Steiner DBAL-PL"
"UK3CB_BAF_L105A1_LLM_FL_R","Steiner DBAL-PL"
"UK3CB_BAF_Flashlight_L91A1","Surefire Weapon light"
"UK3CB_BAF_SFFH","Surefire Flash Hider"
"UK3CB_BAF_BFA_L85","Blank Fire Adaptor (L85)"
"UK3CB_BAF_BFA_L110","Blank Fire Adaptor (L110)"
"UK3CB_BAF_BFA_L129","Blank Fire Adaptor (L129)"
"UK3CB_BAF_BFA_L7","Blank Fire Adaptor (L7)"
"UK3CB_BAF_Silencer_L85","Suppressor (L85)"
"UK3CB_BAF_Silencer_L110","Suppressor (L110)"
"UK3CB_BAF_Silencer_L115A3","Suppressor (L115 / L129)"
"UK3CB_BAF_Silencer_L105A1","Suppressor (L105A1)"
"UK3CB_BAF_Silencer_L91A1","Suppressor (L91A1)"
"UK3CB_underbarrel_acc_fgrip","Folding-grip"
"UK3CB_underbarrel_acc_afg","A-grip (Black)"
"UK3CB_underbarrel_acc_afg_d","A-grip (Desert)"
"UK3CB_underbarrel_acc_afg_g","A-grip (Green)"
"UK3CB_underbarrel_acc_afg_t","A-grip (Tan)"
"UK3CB_underbarrel_acc_afg_w","A-grip (Winter)"
"UK3CB_underbarrel_acc_grippod","Grip-pod (Black)"
"UK3CB_underbarrel_acc_grippod_d","Grip-pod (Desert)"
"UK3CB_underbarrel_acc_grippod_g","Grip-pod (Green)"
"UK3CB_underbarrel_acc_grippod_t","Grip-pod (Tan)"
"UK3CB_underbarrel_acc_grippod_w","Grip-pod (Winter)"
"UK3CB_underbarrel_acc_bipod","Harris Bipod"
"UK3CB_underbarrel_acc_fgrip_bipod","Folding-grip and Harris Bipod"
"UK3CB_Factions_Antonov_AN2_Weapon_Bombpod","AN2 Bombpod"
"UK3CB_Factions_Antonov_AN2_CannonPods","AN2 Cannon Pods"
"UK3CB_Factions_Antonov_AN2_rocketPods","AN2 Rocket Pods"
"RifleGrenade_Base","Rifle Grenade"
"rhs_weap_m70ab2","M-70AB2"
"rhs_weap_m70ab2_fold","M-70AB2 (Folded)"
"rhs_weap_m70b1","M-70B1"
"rhs_weap_m92","M-92"
"rhs_weap_m92_fold","M-92 (Folded)"
"rhs_weap_m76","M-76"
"rhs_weap_m21_base","M-21"
"rhs_weap_m21a","M-21A"
"rhs_weap_m21a_pr","M-21A (Picatinny)"
"rhs_weap_m21a_fold","M-21A (Folded)"
"rhs_weap_m21s","M-21S"
"rhs_weap_m21s_pr","M-21S (Picatinny)"
"rhs_weap_m21s_fold","M-21S (Folded)"
"rhs_acc_mtz","MTZ Rail"
"UK3CB_FNFAL_PARA","FN FAL 50.61 'Para'"
"uk3cb_muzzle_snds_M14","M14 Suppressor"
"UK3CB_M14_Rail","M14 (RIS)"
"UK3CB_M21_Bipod_Railed","M21 (RIS)"
"UK3CB_M14DMR_Railed","M14 DMR (RIS)"
"UK3CB_M60","M60"
"UK3CB_M60_mounted","M60"
"UK3CB_ANA_B_U_CombatUniform_01_SPEC4CE","Combat Uniform [ANA] (Spec4ce) A"
"UK3CB_ANA_B_U_CombatUniform_Shortsleeve_01_SPEC4CE","Combat Uniform [ANA] (Spec4ce) B"
"UK3CB_ANA_B_U_CombatUniform_02_SPEC4CE","Combat Uniform [ANA] (Spec4ce) C"
"UK3CB_ANA_B_U_CombatUniform_Shortsleeve_02_SPEC4CE","Combat Uniform [ANA] (Spec4ce) D"
"UK3CB_ANA_B_U_CombatUniform_01_WDL","Combat Uniform [ANA] (Woodland) A"
"UK3CB_ANA_B_U_CombatUniform_Shortsleeve_01_WDL","Combat Uniform [ANA] (Woodland) B"
"UK3CB_ANA_B_U_CombatUniform_02_WDL","Combat Uniform [ANA] (Woodland) C"
"UK3CB_ANA_B_U_CombatUniform_Shortsleeve_02_WDL","Combat Uniform [ANA] (Woodland) D"
"UK3CB_ANA_B_U_CombatUniform_01_GCAM","Combat Uniform [ANA] (Ghost Kilo-1) A"
"UK3CB_ANA_B_U_CombatUniform_Shortsleeve_01_GCAM","Combat Uniform [ANA] (Ghost Kilo-1) B"
"UK3CB_ANA_B_U_CombatUniform_02_GCAM","Combat Uniform [ANA] (Ghost Kilo-1) C"
"UK3CB_ANA_B_U_CombatUniform_Shortsleeve_02_GCAM","Combat Uniform [ANA] (Ghost Kilo-1) D"
"UK3CB_ANA_B_U_CrewUniform_SPEC4CE","Crew Uniform [ANA] (Spec4ce)"
"UK3CB_ANA_B_U_CombatUniform_Ghillie_SPEC4CE","Ghillie Suit [ANA] (Spec4ce)"
"UK3CB_ANA_B_U_CombatUniform_Ghillie_WDL","Ghillie Suit [ANA] (Woodland)"
"UK3CB_ANA_B_U_CombatUniform_Ghillie_GCAM","Ghillie Suit [ANA] (Ghost Kilo-1)"
"UK3CB_ANA_B_U_H_Pilot_DES","Heli Pilot Coveralls [ANA] (Desert)"
"UK3CB_ANA_B_U_Officer_SPEC4CE","Combat Uniform Officer [ANA] (Spec4ce)"
"UK3CB_ANA_B_U_Officer_WDL","Combat Uniform Officer [ANA] (Woodland)"
"UK3CB_ANA_B_U_J_Pilot_Nato","Jet Pilot Coveralls [ANA] (NATO)"
"UK3CB_ANA_B_H_OFF_Beret_GRN","Beret Officer [ANA] (Green)"
"UK3CB_ANA_B_H_Beret_GRN","Beret [ANA] (Green)"
"UK3CB_ANA_B_H_OFF_Beret_MAR","Beret Commando Officer [ANA] (Maroon)"
"UK3CB_ANA_B_H_Beret_MAR","Beret Commando [ANA] (Maroon)"
"UK3CB_ANA_B_H_BoonieHat_WDL","Boonie Hat [ANA] (Woodland)"
"UK3CB_ANA_B_H_MICH_BARE_DES","ANA MICH 2000 (Tan)"
"UK3CB_ANA_B_H_MICH_BARE_DES_Headset","ANA MICH 2000 (Tan/Headset)"
"UK3CB_ANA_B_H_6b27m_WDL","6b27m Woodland"
"UK3CB_ANA_B_H_6b27m_SPEC4CE","6b27m Spec4ce"
"UK3CB_ANA_B_H_6b27m_BLK","6b27m Black"
"UK3CB_ANA_B_H_6b27m_ESS_WDL","6b27m Woodland (ESS)"
"UK3CB_ANA_B_H_6b27m_ESS_SPEC4CE","6b27m Spec4ce (ESS)"
"UK3CB_ANA_B_H_6b27m_ESS_BLK","6b27m Black (ESS)"
"UK3CB_ANA_B_H_Patrolcap_spec4ce","Patrol Cap [ANA] (Spec4ce)"
"UK3CB_ANA_B_H_Patrolcap_wdl","Patrol Cap [ANA] (Woodland)"
